id,fullname,price
1,BTC-比特币,23052.34
2,XRP-瑞波币,2.0291
3,ETH-以太坊,705.41
4,BCH-比特现金,762.54
5,EOS-柚子,15.4904
6,USDT-泰达币,6.683
7,LTC-莱特币,209.42
8,XLM-恒星币,0.5492
9,TRX-波场,0.1643
10,BSV-比特币SV,425.91
11,ADA-艾达币,0.254
12,BNB-币安币,41.5157
13,MIOTA-埃欧塔,1.7161
14,XMR-门罗币,283.72
15,DASH-达世币,449.46
16,NEO-小蚁,45.995
17,XEM-新经币,0.2683
18,ETC-以太经典,26.5245
19,ONT-本体,3.5732
20,MKR-Maker,2473.55
21,HT-火币积分,6.2371
22,ZEC-大零币,318.89
23,WAVES-波币,18.4862
24,VET-唯链,0.025897
25,DOGE-狗狗币,0.012641
26,BTG-比特黄金,63.9132
27,OKB-OK币,3.9321
28,QTUM-量子链,12.3617
29,OMG-嫩模币,7.2524
30,ZRX-0x协议,1.6824
31,LINK-ChainLink,2.564
32,ZIL-Zilliqa,0.1213
33,TUSD-True USD,6.7768
34,REP-Augur,82.3603
35,DCR-Decred,105.0
36,LSK-应用链,7.4197
37,NANO-纳诺,5.5875
38,XUC-雪币,13.2312
39,BAT-注意力币,0.7602
40,BCD-比特币钻石,4.7018
41,BCN-字节币,0.003983
42,R-Revain,1.2236
43,STEEM-斯蒂姆币,1.8719
44,ICX-ICON,1.2668
45,DGB-极特币,0.058121
46,BTS-比特股,0.2458
47,SC-云储币,0.015454
48,XVG-Verge,0.039436
49,AE-阿姨币,2.4554
50,STRAT-Stratis,5.0256
51,BRC-贝尔链,3.0997
52,GUSD-双子星美元,6.7539
53,BTM-比原链,0.5124
54,KMD-科莫多币,4.1722
55,SNT-Status,0.1214
56,PPT-Populous,7.9357
57,GNT-Golem,0.3886
58,DAI-DAI,6.735
59,ODE-ODEM,1.5387
60,ETN-Electroneum,0.041122
61,LRC-路印协议,0.3626
62,FCT-公证通,38.4039
63,IOST-Internet of Services,0.036737
64,MAID-互联网币,0.7157
65,ARDR-阿朵币,0.3443
66,POLY-Polymath Network,0.6404
67,HC-HyperCash,5.8519
68,WTC-沃尔顿链,6.1589
69,PIVX-普维币,4.2694
70,ARK-Ark,2.5101
71,MANA-Decentraland,0.2245
72,DCN-Dentacoin,0.00045851
73,RDD-蜗牛币,0.008263
74,DGD-黄金代币,102.53
75,POWR-Power Ledger,0.5128
76,AION-Aion,0.7481
77,KCS-Kucoin Shares,2.2875
78,RVN-Ravencoin,0.07249
79,MCO-MCO Token,13.0403
80,MONA-萌奈币,3.3627
81,BNT-Bancor,3.186
82,XZC-小零币,31.2756
83,GXC-公信宝,3.5948
84,PAY-TenX,1.6938
